nom,prenom,legislature,role,from_date,to_date,birth_date,death_date,sycomore_id,url
Ducos,"Hippolyte, Roc, Aristide",Ire législature,Haute-Garonne Groupe Entente démocratique,30 novembre 1958,9 octobre 1962,4 octobre 1881,14 novembre 1970,2655,https://www2.assemblee-nationale.fr/sycomore/fiche/2655
Ducos,"Hippolyte, Roc, Aristide",IIe législature,Haute-Garonne Groupe Rassemblement démocratique,25 novembre 1962,2 avril 1967,4 octobre 1881,14 novembre 1970,2655,https://www2.assemblee-nationale.fr/sycomore/fiche/2655
Ducos,"Hippolyte, Roc, Aristide",IIIe législature,Haute-Garonne Groupe Fédération de la gauche démocrate et socialiste,12 mars 1967,30 mai 1968,4 octobre 1881,14 novembre 1970,2655,https://www2.assemblee-nationale.fr/sycomore/fiche/2655
Ducos,"Hippolyte, Roc, Aristide",IVe législature,Haute-Garonne Groupe Fédération de la gauche démocrate et socialiste,30 juin 1968,14 novembre 1970,4 octobre 1881,14 novembre 1970,2655,https://www2.assemblee-nationale.fr/sycomore/fiche/2655
Dupont,"Alphonse, Joseph",XVIe législature,Ain Groupe Alliance des républicains de gauche et des radicaux indépendants,3 mai 1936,31 mai 1942,26 octobre 1880,22 avril 1945,2716,https://www2.assemblee-nationale.fr/sycomore/fiche/2716
Dupont,"André, Adolphe, François",XVIe législature,Eure Groupe Socialiste,3 mai 1936,31 mai 1942,24 mai 1894,30 mai 1982,2717,https://www2.assemblee-nationale.fr/sycomore/fiche/2717
Dupré,Léandre,XVe législature,Nord Groupe Parti socialiste,8 mai 1932,31 mai 1936,20 janvier 1871,12 mai 1951,2732,https://www2.assemblee-nationale.fr/sycomore/fiche/2732
Dupré,Léandre,XVIe législature,Nord Groupe Socialiste,3 mai 1936,31 mai 1942,20 janvier 1871,12 mai 1951,2732,https://www2.assemblee-nationale.fr/sycomore/fiche/2732
Dupuis,"Armand, Camille",XVe législature,Oise Groupe Républicain radical et radical-socialiste,8 mai 1932,31 mai 1936,16 août 1891,30 octobre 1993,2733,https://www2.assemblee-nationale.fr/sycomore/fiche/2733
Dupuis,"Armand, Camille",XVIe législature,Oise Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,16 août 1891,30 octobre 1993,2733,https://www2.assemblee-nationale.fr/sycomore/fiche/2733
Dupuy,Pierre,VIIIe législature,Gironde Groupe Union démocratique,27 avril 1902,31 mai 1906,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,IXe législature,Gironde Groupe Union démocratique,6 mai 1906,31 mai 1910,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,Xe législature,Gironde Groupe Gauche démocratique,24 avril 1910,31 mai 1914,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,XIe législature,Gironde Groupe Républicains de gauche,26 avril 1914,7 décembre 1919,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,XIIe législature,Gironde Groupe Entente républicaine démocratique,16 novembre 1919,31 mai 1924,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,XIIIe législature,Seine Groupe Républicains de gauche,11 mai 1924,31 mai 1928,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,XVe législature,Etablissements français de l’Inde Groupe Non inscrit,1 mai 1932,31 mai 1936,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Dupuy,Pierre,XVIe législature,Etablissements français de l’Inde Groupe Alliance des républicains de gauche et des radicaux indépendants,3 mai 1936,31 mai 1942,21 juin 1876,29 juin 1968,2743,https://www2.assemblee-nationale.fr/sycomore/fiche/2743
Coudre,"Augustin, louis, Marie, Joseph, Pie Dutertre de la",XVIe législature,Loire-Inférieure Groupe Fédération républicaine de France,14 mars 1937,31 mai 1942,25 août 1878,9 août 1952,2791,https://www2.assemblee-nationale.fr/sycomore/fiche/2791
Dutilleul,Emile,XVIe législature,Seine Groupe Communiste,3 mai 1936,21 janvier 1940,14 avril 1883,18 février 1948,2793,https://www2.assemblee-nationale.fr/sycomore/fiche/2793
Dutilleul,Emile,Ire Assemblée nationale constituante,Seine Groupe Communiste,21 octobre 1945,10 juin 1946,14 avril 1883,18 février 1948,2793,https://www2.assemblee-nationale.fr/sycomore/fiche/2793
Duval,"Alexandre, Henri",XIIe législature,Eure Groupe Entente républicaine démocratique,16 novembre 1919,31 mai 1924,30 mai 1875,19 juin 1943,2798,https://www2.assemblee-nationale.fr/sycomore/fiche/2798
Duval,"Alexandre, Henri",XIIIe législature,Eure Groupe Union républicaine démocratique,11 mai 1924,31 mai 1928,30 mai 1875,19 juin 1943,2798,https://www2.assemblee-nationale.fr/sycomore/fiche/2798
Duval,"Alexandre, Henri",XIVe législature,Eure Groupe Union républicaine démocratique,22 avril 1928,31 mai 1932,30 mai 1875,19 juin 1943,2798,https://www2.assemblee-nationale.fr/sycomore/fiche/2798
Duval,"Alexandre, Henri",XVe législature,Eure Groupe Fédération républicaine,23 septembre 1934,31 mai 1936,30 mai 1875,19 juin 1943,2798,https://www2.assemblee-nationale.fr/sycomore/fiche/2798
Duval,"Alexandre, Henri",XVIe législature,Eure Groupe Fédération républicaine de France,26 avril 1936,31 mai 1942,30 mai 1875,19 juin 1943,2798,https://www2.assemblee-nationale.fr/sycomore/fiche/2798
Elbel,"Paul, Marie, Victor",XVe législature,Vosges Groupe Républicain radical et radical-socialiste,18 juin 1933,31 mai 1936,6 mars 1875,9 avril 1940,2816,https://www2.assemblee-nationale.fr/sycomore/fiche/2816
Elbel,"Paul, Marie, Victor",XVIe législature,Vosges Groupe Républicain radical et radical-socialiste,3 mai 1936,9 avril 1940,6 mars 1875,9 avril 1940,2816,https://www2.assemblee-nationale.fr/sycomore/fiche/2816
Elmiger,Alfred,XVIe législature,Rhône Groupe Gauche indépendante,26 avril 1936,31 mai 1942,29 mars 1886,3 décembre 1958,2820,https://www2.assemblee-nationale.fr/sycomore/fiche/2820
Elsaesser,Charles,XVe législature,Bas-Rhin Groupe Républicains du centre,8 mai 1932,31 mai 1936,4 janvier 1891,28 novembre 1965,2822,https://www2.assemblee-nationale.fr/sycomore/fiche/2822
Elsaesser,Charles,XVIe législature,Bas-Rhin Groupe Indépendants d'action populaire,26 avril 1936,31 mai 1942,4 janvier 1891,28 novembre 1965,2822,https://www2.assemblee-nationale.fr/sycomore/fiche/2822
Enjalbert,René,XVIe législature,Anciens départements d'Algérie Groupe Gauche démocratique et radicale indépendante,3 mai 1936,31 mai 1942,8 septembre 1890,29 décembre 1976,2830,https://www2.assemblee-nationale.fr/sycomore/fiche/2830
Escartefigue,Marius,XIVe législature,Var Groupe Députés indépendants,29 avril 1928,31 mai 1932,2 novembre 1872,8 novembre 1957,2838,https://www2.assemblee-nationale.fr/sycomore/fiche/2838
Escartefigue,Marius,XVIe législature,Var Groupe Gauche démocratique et radicale indépendante,3 mai 1936,31 mai 1942,2 novembre 1872,8 novembre 1957,2838,https://www2.assemblee-nationale.fr/sycomore/fiche/2838
Esparbès,Ernest,XVIe législature,Haute-Garonne Groupe Socialiste,3 mai 1936,31 mai 1942,25 janvier 1903,19 mai 1956,2848,https://www2.assemblee-nationale.fr/sycomore/fiche/2848
Auriol,"Vincent, Jules",XIe législature,Haute-Garonne Groupe Parti socialiste,10 mai 1914,7 décembre 1919,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",XIIe législature,Haute-Garonne Groupe Parti socialiste,16 novembre 1919,31 mai 1924,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",XIIIe législature,Haute-Garonne Groupe Parti socialiste,11 mai 1924,31 mai 1928,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",XIVe législature,Haute-Garonne Groupe Parti socialiste,22 avril 1928,31 mai 1932,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",XVe législature,Haute-Garonne Groupe Parti socialiste,1 mai 1932,31 mai 1936,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",XVIe législature,Haute-Garonne Groupe Socialiste,26 avril 1936,31 mai 1942,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",Ire Assemblée nationale constituante,Haute-Garonne Groupe Socialiste,21 octobre 1945,10 juin 1946,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",2e Assemblée nationale constituante,Haute-Garonne Groupe Socialiste,2 juin 1946,27 novembre 1946,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Auriol,"Vincent, Jules",Ire législature,Haute-Garonne Groupe Socialiste,10 novembre 1946,31 décembre 1947,27 août 1884,1 janvier 1966,285,https://www2.assemblee-nationale.fr/sycomore/fiche/285
Fajon,Etienne,XVIe législature,Seine Groupe Communiste,3 mai 1936,21 janvier 1940,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,Ire Assemblée nationale constituante,Seine Groupe Communiste,21 octobre 1945,10 juin 1946,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,2e Assemblée nationale constituante,Seine Groupe Communiste,2 juin 1946,27 novembre 1946,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,Ire législature,Seine Groupe Communiste,10 novembre 1946,4 juillet 1951,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,IIe législature,Seine Groupe Communiste,17 juin 1951,1 décembre 1955,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,IIIe législature,Seine Groupe Communiste,2 janvier 1956,8 décembre 1958,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,IIe législature,Paris Groupe Communiste,18 novembre 1962,2 avril 1967,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,IIIe législature,Seine-St-Denis Groupe Communiste,12 mars 1967,30 mai 1968,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,IVe législature,Seine-St-Denis Groupe Communiste,30 juin 1968,1 avril 1973,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fajon,Etienne,Ve législature,Seine-St-Denis Groupe Communiste,2 avril 1973,2 avril 1978,11 septembre 1906,4 décembre 1991,2895,https://www2.assemblee-nationale.fr/sycomore/fiche/2895
Fauchon,Maxime,XVe législature,Manche Groupe Députés du centre républicain,8 mai 1932,31 mai 1936,4 mars 1894,1 janvier 1981,2916,https://www2.assemblee-nationale.fr/sycomore/fiche/2916
Fauchon,Maxime,XVIe législature,Manche Groupe Républicains indépendants et d'action sociale,26 avril 1936,31 mai 1942,4 mars 1894,1 janvier 1981,2916,https://www2.assemblee-nationale.fr/sycomore/fiche/2916
Fauchon,Maxime,IIIe législature,Manche Groupe Indépendants et paysans d'action sociale,2 janvier 1956,8 décembre 1958,4 mars 1894,1 janvier 1981,2916,https://www2.assemblee-nationale.fr/sycomore/fiche/2916
Faure,Paul,XIIIe législature,Saône-et-Loire Groupe Parti socialiste,11 mai 1924,31 mai 1928,3 février 1878,16 novembre 1960,2934,https://www2.assemblee-nationale.fr/sycomore/fiche/2934
Faure,Paul,XIVe législature,Saône-et-Loire Groupe Parti socialiste,29 avril 1928,31 mai 1932,3 février 1878,16 novembre 1960,2934,https://www2.assemblee-nationale.fr/sycomore/fiche/2934
Faure,Paul,XVIe législature,Saône-et-Loire Groupe Socialiste,6 novembre 1938,31 mai 1942,3 février 1878,16 novembre 1960,2934,https://www2.assemblee-nationale.fr/sycomore/fiche/2934
Faure,Pétrus,XVe législature,Loire Groupe Unité ouvrière,1 mai 1932,31 mai 1936,11 octobre 1891,10 novembre 1985,2935,https://www2.assemblee-nationale.fr/sycomore/fiche/2935
Faure,Pétrus,XVIe législature,Loire Groupe Parti de l'unité prolétarienne,3 mai 1936,31 mai 1942,11 octobre 1891,10 novembre 1985,2935,https://www2.assemblee-nationale.fr/sycomore/fiche/2935
Aveline,"Joseph, Louis",XVIe législature,Orne Groupe Gauche démocratique et radicale indépendante,3 mai 1936,31 mai 1942,10 décembre 1881,12 décembre 1958,294,https://www2.assemblee-nationale.fr/sycomore/fiche/294
Féga,Joseph,XVIe législature,Haut-Rhin Groupe Alliance des républicains de gauche et des radicaux indépendants,30 avril 1939,31 mai 1942,21 mars 1887,9 novembre 1966,2948,https://www2.assemblee-nationale.fr/sycomore/fiche/2948
Férin,Raymond,XIVe législature,Marne Groupe Républicain radical et radical-socialiste,22 avril 1928,31 mai 1932,16 juillet 1871,4 juillet 1951,2960,https://www2.assemblee-nationale.fr/sycomore/fiche/2960
Férin,Raymond,XVe législature,Marne Groupe Républicain radical et radical-socialiste,8 mai 1932,31 mai 1936,16 juillet 1871,4 juillet 1951,2960,https://www2.assemblee-nationale.fr/sycomore/fiche/2960
Férin,Raymond,XVIe législature,Marne Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,16 juillet 1871,4 juillet 1951,2960,https://www2.assemblee-nationale.fr/sycomore/fiche/2960
Fernand-Laurent,Jean,XVe législature,Seine Groupe Indépendants de gauche,9 avril 1933,31 mai 1936,15 mai 1889,15 mars 1949,2961,https://www2.assemblee-nationale.fr/sycomore/fiche/2961
Fernand-Laurent,Jean,XVIe législature,Seine Groupe Indépendants républicains,26 avril 1936,31 mai 1942,15 mai 1889,15 mars 1949,2961,https://www2.assemblee-nationale.fr/sycomore/fiche/2961
Février,André,XIIIe législature,Rhône Groupe Parti socialiste,11 mai 1924,31 mai 1928,30 novembre 1885,27 avril 1961,2995,https://www2.assemblee-nationale.fr/sycomore/fiche/2995
Février,André,XIVe législature,Rhône Groupe Parti socialiste,29 avril 1928,31 mai 1932,30 novembre 1885,27 avril 1961,2995,https://www2.assemblee-nationale.fr/sycomore/fiche/2995
Février,André,XVe législature,Rhône Groupe Parti socialiste,8 mai 1932,31 mai 1936,30 novembre 1885,27 avril 1961,2995,https://www2.assemblee-nationale.fr/sycomore/fiche/2995
Février,André,XVIe législature,Rhône Groupe Socialiste,3 mai 1936,31 mai 1942,30 novembre 1885,27 avril 1961,2995,https://www2.assemblee-nationale.fr/sycomore/fiche/2995
Fié,Arsène-Celestin,XIIIe législature,Nièvre Groupe Républicain socialiste et socialiste français,11 mai 1924,31 mai 1928,31 octobre 1869,27 mai 1968,2997,https://www2.assemblee-nationale.fr/sycomore/fiche/2997
Fié,Arsène-Celestin,XIVe législature,Nièvre Groupe Parti socialiste,29 avril 1928,31 mai 1932,31 octobre 1869,27 mai 1968,2997,https://www2.assemblee-nationale.fr/sycomore/fiche/2997
Fié,Arsène-Celestin,XVe législature,Nièvre Groupe Parti socialiste,8 mai 1932,31 mai 1936,31 octobre 1869,27 mai 1968,2997,https://www2.assemblee-nationale.fr/sycomore/fiche/2997
Fié,Arsène-Celestin,XVIe législature,Nièvre Groupe Socialiste,3 mai 1936,31 mai 1942,31 octobre 1869,27 mai 1968,2997,https://www2.assemblee-nationale.fr/sycomore/fiche/2997
Fieu,Louis,XVe législature,Tarn Groupe Parti socialiste,1 mai 1932,31 mai 1936,7 novembre 1879,5 novembre 1973,2998,https://www2.assemblee-nationale.fr/sycomore/fiche/2998
Fieu,Louis,XVIe législature,Tarn Groupe Socialiste,26 avril 1936,31 mai 1942,7 novembre 1879,5 novembre 1973,2998,https://www2.assemblee-nationale.fr/sycomore/fiche/2998
Fiori,Henri,XIIe législature,Anciens départements d'Algérie Groupe Républicain socialiste,30 novembre 1919,31 mai 1924,20 février 1881,14 janvier 1963,3012,https://www2.assemblee-nationale.fr/sycomore/fiche/3012
Fiori,Henri,XIIIe législature,Anciens départements d'Algérie Groupe Républicain socialiste et socialiste français,25 mai 1924,31 mai 1928,20 février 1881,14 janvier 1963,3012,https://www2.assemblee-nationale.fr/sycomore/fiche/3012
Fiori,Henri,XVe législature,Anciens départements d'Algérie Groupe Parti républicain socialiste,8 mai 1932,31 mai 1936,20 février 1881,14 janvier 1963,3012,https://www2.assemblee-nationale.fr/sycomore/fiche/3012
Fiori,Henri,XVIe législature,Anciens départements d'Algérie Groupe Union socialiste et républicaine,3 mai 1936,31 mai 1942,20 février 1881,14 janvier 1963,3012,https://www2.assemblee-nationale.fr/sycomore/fiche/3012
Forcinal,Albert,XIVe législature,Eure Groupe Parti républicain socialiste et socialiste français,29 avril 1928,31 mai 1932,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Forcinal,Albert,XVe législature,Eure Groupe Parti socialiste français,8 mai 1932,31 mai 1936,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Forcinal,Albert,XVIe législature,Eure Groupe Union socialiste et républicaine,3 mai 1936,31 mai 1942,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Forcinal,Albert,Ire Assemblée nationale constituante,Eure Groupe Radical et radical-socialiste,21 octobre 1945,10 juin 1946,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Forcinal,Albert,2e Assemblée nationale constituante,Eure Groupe Radical et radical-socialiste,2 juin 1946,27 novembre 1946,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Forcinal,Albert,Ire législature,Eure Groupe Union démocratique et socialiste de la Résistance,10 novembre 1946,4 juillet 1951,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Forcinal,Albert,IIe législature,Eure Groupe Républicain radical et radical-socialiste,17 juin 1951,1 décembre 1955,11 mai 1887,1 novembre 1976,3051,https://www2.assemblee-nationale.fr/sycomore/fiche/3051
Fouchard,Emile,XVIe législature,Seine-et-Marne Groupe Communiste,3 mai 1936,31 mai 1942,20 février 1902,2 janvier 1996,3069,https://www2.assemblee-nationale.fr/sycomore/fiche/3069
Fould,Achille,XIIe législature,Hautes-Pyrénées Groupe Entente républicaine démocratique,16 novembre 1919,31 mai 1924,19 septembre 1890,4 octobre 1969,3080,https://www2.assemblee-nationale.fr/sycomore/fiche/3080
Fould,Achille,XIIIe législature,Hautes-Pyrénées Groupe Union républicaine démocratique,11 mai 1924,31 mai 1928,19 septembre 1890,4 octobre 1969,3080,https://www2.assemblee-nationale.fr/sycomore/fiche/3080
Fould,Achille,XIVe législature,Hautes-Pyrénées Groupe Union républicaine démocratique,22 avril 1928,31 mai 1932,19 septembre 1890,4 octobre 1969,3080,https://www2.assemblee-nationale.fr/sycomore/fiche/3080
Fould,Achille,XVe législature,Hautes-Pyrénées Groupe Députés du centre républicain,1 mai 1932,31 mai 1936,19 septembre 1890,4 octobre 1969,3080,https://www2.assemblee-nationale.fr/sycomore/fiche/3080
Fould,Achille,XVIe législature,Hautes-Pyrénées Groupe Alliance des républicains de gauche et des radicaux indépendants,26 avril 1936,31 mai 1942,19 septembre 1890,4 octobre 1969,3080,https://www2.assemblee-nationale.fr/sycomore/fiche/3080
Pavant,François Fourcault de,XVIe législature,Seine-et-Oise Groupe Républicains indépendants et d'action sociale,3 mai 1936,31 mai 1942,11 mars 1896,28 janvier 1965,3089,https://www2.assemblee-nationale.fr/sycomore/fiche/3089
Fourrier,Jules,XVIe législature,Seine Groupe Communiste,3 mai 1936,31 mai 1942,17 août 1906,31 juillet 1999,3103,https://www2.assemblee-nationale.fr/sycomore/fiche/3103
Framondée,Ernest de Framont de la,XVe législature,Lozère Groupe Fédération républicaine,2 avril 1933,31 mai 1936,5 juin 1886,24 novembre 1974,3115,https://www2.assemblee-nationale.fr/sycomore/fiche/3115
Framondée,Ernest de Framont de la,XVIe législature,Lozère Groupe Fédération républicaine de France,26 avril 1936,31 mai 1942,5 juin 1886,24 novembre 1974,3115,https://www2.assemblee-nationale.fr/sycomore/fiche/3115
Franchi,Toussaint,XVIe législature,Bouches-du-Rhône Groupe Socialiste,2 avril 1939,31 mai 1942,2 mars 1893,12 octobre 1968,3120,https://www2.assemblee-nationale.fr/sycomore/fiche/3120
François-Valentin,"François, Charles, Joseph Valentin dit",XVIe législature,Meurthe-et-Moselle Groupe Fédération républicaine de France,3 mai 1936,31 mai 1942,8 août 1909,24 septembre 1961,3131,https://www2.assemblee-nationale.fr/sycomore/fiche/3131
François-Valentin,"François, Charles, Joseph Valentin dit",Ire législature,Meurthe-et-Moselle Groupe Indépendants et paysans d'action sociale,23 novembre 1958,24 septembre 1961,8 août 1909,24 septembre 1961,3131,https://www2.assemblee-nationale.fr/sycomore/fiche/3131
Frédéric-Dupont,Edouard,XVIe législature,Seine Groupe Fédération républicaine de France,3 juin 1936,31 mai 1942,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,Ire Assemblée nationale constituante,Seine Groupe Parti républicain de la liberté,6 novembre 1945,10 juin 1946,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,2e Assemblée nationale constituante,Seine Groupe Parti républicain de la liberté,11 juin 1946,27 novembre 1946,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,Ire législature,Seine Groupe Parti républicain de la liberté,28 novembre 1946,4 juillet 1951,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,IIe législature,Seine Groupe Rassemblement du peuple français - ARS,5 juillet 1951,1 décembre 1955,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,IIIe législature,Seine Groupe Indépendants et paysans d'action sociale,19 janvier 1956,8 décembre 1958,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,Ire législature,Seine Groupe Indépendants et paysans d'action sociale,9 décembre 1958,9 octobre 1962,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,IIIe législature,Paris Groupe Progrès et démocratie moderne,3 avril 1967,30 mai 1968,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,Ve législature,Paris Groupe Républicains indépendants,2 avril 1973,2 avril 1978,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,VIe législature,Paris Groupe Rassemblement pour la République,3 avril 1978,22 mai 1981,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,VIIe législature,Paris Groupe Rassemblement pour la République,2 juillet 1981,1 avril 1986,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,VIIIe législature,Paris Groupe Front national,2 avril 1986,14 mai 1988,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Frédéric-Dupont,Edouard,IXe législature,Paris Groupe Rassemblement pour la République,13 juin 1988,1 avril 1993,10 juillet 1902,15 février 1995,3144,https://www2.assemblee-nationale.fr/sycomore/fiche/3144
Froment,Edouard,XVe législature,Ardèche Groupe Parti socialiste,8 mai 1932,31 mai 1936,13 mars 1884,13 mars 1973,3161,https://www2.assemblee-nationale.fr/sycomore/fiche/3161
Froment,Edouard,XVIe législature,Ardèche Groupe Socialiste,3 mai 1936,31 mai 1942,13 mars 1884,13 mars 1973,3161,https://www2.assemblee-nationale.fr/sycomore/fiche/3161
Froment,Edouard,Ire Assemblée nationale constituante,Ardèche Groupe Socialiste,21 octobre 1945,10 juin 1946,13 mars 1884,13 mars 1973,3161,https://www2.assemblee-nationale.fr/sycomore/fiche/3161
Froment,Edouard,2e Assemblée nationale constituante,Ardèche Groupe Socialiste,2 juin 1946,27 novembre 1946,13 mars 1884,13 mars 1973,3161,https://www2.assemblee-nationale.fr/sycomore/fiche/3161
Froment,Edouard,Ire législature,Ardèche Groupe Socialiste,10 novembre 1946,4 juillet 1951,13 mars 1884,13 mars 1973,3161,https://www2.assemblee-nationale.fr/sycomore/fiche/3161
Frossard,Ludovic-Oscar,XIVe législature,Martinique Groupe Parti socialiste,22 avril 1928,31 mai 1932,5 mars 1889,11 février 1946,3166,https://www2.assemblee-nationale.fr/sycomore/fiche/3166
Frossard,Ludovic-Oscar,XVe législature,Haute-Saône Groupe Parti socialiste,8 mai 1932,31 mai 1936,5 mars 1889,11 février 1946,3166,https://www2.assemblee-nationale.fr/sycomore/fiche/3166
Frossard,Ludovic-Oscar,XVIe législature,Haute-Saône Groupe Non inscrit,3 mai 1936,31 mai 1942,5 mars 1889,11 février 1946,3166,https://www2.assemblee-nationale.fr/sycomore/fiche/3166
Frot,Eugène,XIIIe législature,Loiret Groupe Parti socialiste,11 mai 1924,31 mai 1928,2 octobre 1893,10 avril 1983,3167,https://www2.assemblee-nationale.fr/sycomore/fiche/3167
Frot,Eugène,XIVe législature,Loiret Groupe Parti socialiste,22 avril 1928,31 mai 1932,2 octobre 1893,10 avril 1983,3167,https://www2.assemblee-nationale.fr/sycomore/fiche/3167
Frot,Eugène,XVe législature,Loiret Groupe Parti socialiste,1 mai 1932,31 mai 1936,2 octobre 1893,10 avril 1983,3167,https://www2.assemblee-nationale.fr/sycomore/fiche/3167
Frot,Eugène,XVIe législature,Loiret Groupe Union socialiste et républicaine,26 avril 1936,31 mai 1942,2 octobre 1893,10 avril 1983,3167,https://www2.assemblee-nationale.fr/sycomore/fiche/3167
Fuchs,Edouard,XVIe législature,Haut-Rhin Groupe Indépendants d'action populaire,3 mai 1936,31 mai 1942,11 février 1896,2 janvier 1992,3174,https://www2.assemblee-nationale.fr/sycomore/fiche/3174
Fully,Pierre,XVIe législature,Landes Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,4 février 1894,10 novembre 1940,3178,https://www2.assemblee-nationale.fr/sycomore/fiche/3178
Gaillemin,Louis,XVe législature,Vosges Groupe Républicain et social,3 juin 1934,31 mai 1936,3 août 1880,15 novembre 1960,3206,https://www2.assemblee-nationale.fr/sycomore/fiche/3206
Gaillemin,Louis,XVIe législature,Vosges Groupe Républicains indépendants et d'action sociale,26 avril 1936,14 mars 1939,3 août 1880,15 novembre 1960,3206,https://www2.assemblee-nationale.fr/sycomore/fiche/3206
Galimand,Lucien,XVIe législature,Seine-Inférieure Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,6 avril 1904,17 juin 1982,3212,https://www2.assemblee-nationale.fr/sycomore/fiche/3212
